id,income
48463,14.6
48479,22.3
48483,7.8
48495,6.6
48501,10.6
48507,11.1
48007,32.1
48153,3.4
48181,9.4
48259,8.7
48289,11.5
48431,13.5
48443,8
48071,11.9
48085,11.9
48163,11.2
48179,12.4
48215,12.9
48221,15.9
48231,16.6
48275,9.7
48297,12.6
48315,15.9
48327,11.1
48329,25.6
48347,12.4
48361,16.6
48381,8.3
48383,23.7
48399,19.7
48429,22.1
48453,13
48499,12.8
48019,26.4
48061,15.2
48069,22.6
48091,15.6
48121,12.3
48133,8.7
48189,14.1
48203,12.5
48229,17.9
48241,14.5
48287,22.5
48295,16.9
48337,12.4
48351,25.3
48359,12.8
48457,13.6
48475,12.1
48021,15.5
48031,14.9
48051,10.4
48143,8.3
48151,12.8
48165,13.9
48211,13.8
48317,6.4
48385,8.5
48469,7.8
48477,15.8
48029,7.3
48039,25.1
48049,4.9
48081,10
48099,7.2
48131,9.8
48149,16.3
48219,16.7
48239,21.8
48251,24
48271,6.8
48283,15.2
48311,12.2
48313,11.5
48335,9.4
48357,13.3
48409,10.3
48423,11.9
48455,11
48117,10.6
48161,2.7
48177,7.6
48467,6.8
48473,13.9
48023,18.7
48093,15.5
48103,23.5
48123,13.8
48253,12.3
48263,15.7
48349,6.8
48371,13.6
48379,11.5
48487,12.4
48145,11.4
48157,6.9
48291,9
48303,13.7
48503,17.5
,13.6
,21.6
,15.8
,24.5
,6.3
,11.6
,5
,10.2
,11.1
,3.2
,8.8
,10.1
,4.1
,4
,7
,5.4
,8.4
,7
,24.1
,10.9
,10.1
,6.3
,9.1
,2.1
,6.2
,7.8
,-
,8.2
,10.2
,7.1
,3.6
,10.5
,31.4
,29.5
,10.9
,4
,6.9
,14.6
,9.4
,4.2
,2.9
,10.9
,6.9
,7.9
,10.7
,24.4
,5.8
,4.1
,3.9
,5.8
,2.4
,5.8
,11.5
,9.8
,0
,5
,6.7
,8.3
,9.4
,11.1
,15.7
,8.1
,10.2
,12.1
,15.3
,9.7
,10.2
,8.7
,9.2
,9.1
,7.3
,17.9
,11.6
,10
,8.8
,30.5
,15.5
,20.6
,19.8
,8.5
,13.1
,27.8
,11.5
,21.5
,24.2
,23
,8.5
,16.5
,21.8
,20.3
,37.7
,6.7
,13.8
,24.1
,14.4
,16.1
,10.3
,8.4
,11.2
,29.1
,14.1
,13.5
,13.4
,8.1
,19.1
,6.9
,16.7
,11.7
,8
,22.8
,8.1
,13.5
,7.1
,11
,10.8
,7.6
,10
,8.7
,13.7
,10.9
,8.2
,20.3
,9.1
,15.2
,12.6
,14.9
,10.9
,13.7
,11.7
,6.8
,19.4
,10.1
,10.4
,5.6
,22
,9.9
,3.1
,5.6
,14.8
,13.2
,13.1
,14.7
,8.7
,5.3
,15.9
,11.9
,13.7
,6.4
,12.1
,18.8
,16.7
,8.1
,20.2
,14
,16.3
,9
,10.6
,22
,12.3
,11.6
,10.3
,4.4
,20.9
,4.2
,11.2
,-
,15.9
,11.9
,13.4
,9.5
